Dummy	0	Empty
IDBTN_LAUNCHER_INSTALL	0x1000	Install
IDBTN_LAUNCHER_ANALYZE	0x1001	Analyze Your Computer
IDBTN_LAUNCHER_HELP	0x1002	Help
IDBTN_LAUNCHER_OPTIONS	0x1003	Options
IDBTN_LAUNCHER_EXIT	0x1004	Exit
IDBTN_LAUNCHER_REGISTER	0x1005	Register Online
IDBTN_LAUNCHER_WWW	0x1006	Visit www.lucasarts.com
IDBTN_LAUNCHER_UNINSTALL	0x1007	Uninstall
IDBTN_LAUNCHER_ADVANCED	0x1008	Advanced Options
IDBTN_LAUNCHER_BACK	0x1009	Go Back
IDBTN_LAUNCHER_AUDIO	0x100a	Sound Options
IDBTN_LAUNCHER_VIDEO	0x100b	Display Options
IDBTN_LAUNCHER_SUPPORT	0x100c	LucasArts Technical Support
IDBTN_LAUNCHER_CANCEL	0x100e	Cancel
IDBTN_LAUNCHER_START_NEW_GAME	0x100f	Start Game
IDBTN_LAUNCHER_RESUME_PLAY	0x1010	Resume Play
IDBTN_LAUNCHER_OK	0x1011	Ok
IDBTN_LAUNCHER_START	0x1012	Start
IDBTN_LAUNCHER_REINSTALL_DIRECTX	0x1013	Reinstall DirectX
IDBTN_LAUNCHER_VIEW_README	0x1014	View Readme
IDBTN_LAUNCHER_VIEW_TSG	0x1015	View Troubleshooting Guide
IDBTN_LAUNCHER_VIEW_LICENSE	0x1016	View License Agreement
IDBTN_LAUNCHER_README_TSG	0x1017	Readme && Troubleshooting Guide
IDBTN_LAUNCHER_DXDIAG	0x1018	DirectX Diagnostics
IDBAR_LAUNCHER_LAUNCH	0x2000	Launch
IDBAR_LAUNCHER_INSTALL	0x2001	Install
IDBAR_LAUNCHER_OPTIONS	0x2002	Options
IDBAR_LAUNCHER_ADVANCED	0x2003	Advanced Options
IDBAR_LAUNCHER_UNINSTALL	0x2004	Uninstall
IDBAR_LAUNCHER_README_TSG	0x2005	Readme & Troubleshooting Guide
IDBAR_LAUNCHER_HELP	0x2006	Help
IDTXT_LAUNCHER_UNINSTALL_WARNING	0x3000	WARNING: Clicking Uninstall may delete some game files without further prompting.
IDCHK_LAUNCHER_KEEP_GAMES	0x4000	Keep Savegames?
IDMSG_REGISTER_PRODUCT	0x5000	Would you like to electronically register\n$[ProductName] now?
IDMSG_INSERT_A_GAME_CD	0x5001	Please insert one of the $[ProductName] CDs into your CD-ROM drive to proceed.
IDMSG_INSERT_THE_GAME_CD	0x5002	Please insert the $[ProductName] CD into your CD-ROM drive to proceed.
IDMSG_INSERT_FIRST_GAME_CD	0x5003	Please insert the first $[ProductName] CD into your CD-ROM drive to proceed.
IDMSG_INSERT_GAME_CD_INSTALL	0x5004	Please insert the first CD into your CD-ROM drive to install $[ProductName].
IDMSG_DELETE_SAVE_GAMES	0x5005	Do you really want to delete all saved games?
IDMSG_REINSTALL_DIRECTX	0x5006	This game needs to update your DirectX installation\nbefore you can proceed!\n\nDo you want to perform the update now?
IDMSG_CORRUPT_INSTALLATION	0x5007	A required file is missing or corrupted!\n\nPlease reinstall $[ProductName] to fix this problem.
IDMSG_PHYSICAL_MEMORY	0x5008	$[ProductName] requires more physical memory to run properly!\nPlease consult the Troubleshooting Guide for further information.\n\nDo you want to proceed anyway?
IDMSG_PAGE_FILE	0x5009	$[ProductName] may require more virtual memory to run properly!\nPlease consult the Troubleshooting Guide for further information.\n\nDo you want to proceed anyway?
IDMSG_DIRECTX_WARNING	0x5010	Reinstalling DirectX may disable some video card utilities.\nPlease refer to the Troubleshooting Guide for a list of hardware that may possibly conflict with DirectX.\n\nDirectX may ask you for the Win95/98 installation CD.
IDMSG_REMOVE_GAME_DATA	0x5011	Do you want to keep all saved games and configuration files?
IDMSG_EXTERNAL_DIRECTX	0x5012	DirectX $[DirectXVersion] or better needs to be installed before this option will work.\nYou can download these DirectX drivers through the LucasArts Web Site at\n$[DirectXUrl]
IDMSG_NO_SOUNDCARD	0x5013	A sound card was not detected in your system. Please choose yes to continue without a sound card or no to exit.
IDMSG_DSETUP_MB_TITLE	0x7800	DirectX Setup
IDMSG_DSETUPERR_SUCCESS	0x7801	Congratulations! DirectX is now properly installed on your system.
IDMSG_DSETUPERR_BADSOURCESIZE	0x7802	A file's size could not be verified or was incorrect.
IDMSG_DSETUPERR_BADSOURCETIME	0x7803	A file's date and time could not be verified or were incorrect.
IDMSG_DSETUPERR_BADWINDOWSVERSION	0x7804	DirectX does not support the Windows version on the system.
IDMSG_DSETUPERR_CANTFINDDIR	0x7805	The setup program could not find the working directory.
IDMSG_DSETUPERR_CANTFINDINF	0x7806	A required .inf file could not be found.
IDMSG_DSETUPERR_INTERNAL	0x7807	An internal error occurred.
IDMSG_DSETUPERR_NEWERVERSION	0x7808	A later version of DirectX is already installed on your system.\n\nAn update is not required.
IDMSG_DSETUPERR_NOCOPY	0x7809	A file's version could not be verified or was incorrect.
IDMSG_DSETUPERR_NOTPREINSTALLEDONNT	0x780A	The version of Windows NT on the system does not contain the current version of DirectX. An older version of DirectX may be present, or DirectX may be absent altogether.
IDMSG_DSETUPERR_OUTOFDISKSPACE	0x780B	The setup program ran out of disk space during installation.
IDMSG_DSETUPERR_SOURCEFILENOTFOUND	0x780C	One of the required source files could not be found.
IDMSG_DSETUPERR_UNKNOWNOS	0x780D	The operating system on your system is not currently supported.
IDMSG_DSETUPERR_USERHITCANCEL	0x780E	The Cancel button was pressed before DirectX was fully installed.
IDMSG_DSETUPERR_ERROR	0x7880	A problem occurred during the installation of DirectX:
IDMSG_DSETUPERR_TSG	0x7881	Please consult the Troubleshooting Guide for more information.
IDMSG_DSETUPERR_REBOOT	0x7882	You must restart your computer for the desired changes to take effect.\n\nDo you want to restart your computer now?
IDMSG_DSETUP_OK	0x7883	DirectX setup needs to restart your machine, press OK to restart now.
IDMSG_TDCHECK_ERROR	0x7884	There is no 3D hardware installed in your system.
IDMSG_COLORDEPTH_ERROR	0x7885	You must be running in 256 color or higher. You can change the color depth in Display Properties and then restart the installation.
IDBTN_PERFORMANCE_OPTIONS	0x7886	Configuration Options
INST001	0x8001	Visit www.lucasarts.com
INST002	0x8002	LEC Multiplayer Home Page
INST003	0x8003	Customer Survey
INST004	0x8004	View %s Readme
INST005	0x8005	Uninstall %s
INST006	0x8006	%s Setup Question:
INST007	0x8007	%s Main Menu
INST008	0x8008	Please select an option.
INST009	0x8009	Install %s
INST010	0x800A	Which size installation would you like?
